product_name,price,unit,aliases,tags,optimized_tags
ซีลาย # 26 เบา 5.6-5.9 กก./มัด,19,เส้น,เส้นซีลาย26เบา,เส้นซี;เหล็กกล่อง;เหล็กเบา;26 gauge;บาง;เหล็ก;เบา,"เหล็ก, เส้นซี, เบา, 26 gauge"
ซีลาย # 26 เต็ม 6.0-6.5 กก./มัด,20,เส้น,เส้นซีลาย26เต็ม,เส้นซี;เหล็กกล่อง;เหล็กเต็ม;26 gauge;เหล็ก;เต็ม,"เหล็ก, เส้นซี, เต็ม, 26 gauge"
ซีลาย # 24 เบา 7.0-7.5 กก./มัด,23,เส้น,เส้นซีลาย24เบา,เส้นซี;เหล็กกล่อง;เหล็กเบา;24 gauge;บาง;เหล็ก;เบา,"เหล็ก, เส้นซี, เบา, 24 gauge"
ซีลาย # 24 เต็ม 8.0-8.5 กก./มัด,27,เส้น,เส้นซีลาย24เต็ม,เส้นซี;เหล็กกล่อง;เหล็กเต็ม;24 gauge;เหล็ก;เต็ม,"เหล็ก, เส้นซี, เต็ม, 24 gauge"
ฉากริมสังกะสี 6 หุน (น้ำหนัก 3.5 - 3.8 กิโล/ 25 เส้น),8,เส้น,ฉาก6หุน,ฉากริม;สังกะสี;เหล็กฉาก;มุม;6 หุน,"สังกะสี, เหล็กฉาก"
"ฉากริมสังกะสี 1""x1"" (น้ำหนัก 6.0 - 6.5 กิโล/ 25 เส้น)",11,เส้น,ฉาก1นิ้ว,ฉากริม;สังกะสี;เหล็กฉาก;มุม;1x1,"สังกะสี, เหล็กฉาก"
ลวดขาวตรง 3 เมตร #11 ( 3 มิล),7,เส้น,ลวดขาว11,ลวดขาว;ลวดตรง;3 มิล;3 เมตร;ลวดเส้น;ลวด;11 gauge;ยาว,"ลวด, ลวดตรง, 11 gauge, 3 มิล, ยาว"
แผ่นยิปซั่ม ธรรมดา 9 mm (คนอฟ),110,แผ่น,ยิปซั่ม9มมคนอฟ,ยิปซั่ม;ธรรมดา;9 mm;คนอฟ;ผนัง;ฝ้า;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, ธรรมดา, 9 mm"
แผ่นยิปซั่ม ธรรมดา 9 mm (ตราช้าง),129,แผ่น,ยิปซั่ม9มมช้าง,ยิปซั่ม;ธรรมดา;9 mm;ช้าง;ผนัง;ฝ้า;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, ธรรมดา, 9 mm"
แผ่นยิปซั่ม ธรรมดา 9 mm (ยิปไลน์),100,แผ่น,ยิปซั่ม9มมยิปไลน์,ยิปซั่ม;ธรรมดา;9 mm;ยิปไลน์;ผนัง;ฝ้า;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, ธรรมดา, 9 mm"
แผ่นยิปซั่ม กันชื้น 9 mm (คนอฟ),165,แผ่น,ยิปซั่มกันชื้น9มมคนอฟ,ยิปซั่ม;กันชื้น;9 mm;คนอฟ;ห้องน้ำ;ผนัง;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, กันชื้น, 9 mm"
แผ่นยิปซั่ม กันชื้น 9 mm (ตราช้าง),185,แผ่น,ยิปซั่มกันชื้น9มมช้าง,ยิปซั่ม;กันชื้น;9 mm;ช้าง;ห้องน้ำ;ผนัง;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, กันชื้น, 9 mm"
แผ่นยิปซั่ม กันชื้น 9 mm (ตราบ้าน),170,แผ่น,ยิปซั่มกันชื้น9มมบ้าน,ยิปซั่ม;กันชื้น;9 mm;ตราบ้าน;ห้องน้ำ;ผนัง;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, กันชื้น, 9 mm"
แผ่นยิปซั่ม ฟอยล์ 9 mm (ยิปไลน์),175,แผ่น,ยิปซั่มฟอยล์9มมยิปไลน์,ยิปซั่ม;ฟอยล์;9 mm;ยิปไลน์;ฉนวน;ผนัง;ฝ้า;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, ฟอยล์, 9 mm"
แผ่นยิปซั่ม ฟอยล์ 9 mm (ตราช้าง),185,แผ่น,ยิปซั่มฟอยล์9มมช้าง,ยิปซั่ม;ฟอยล์;9 mm;ช้าง;ฉนวน;ผนัง;ฝ้า;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, ฟอยล์, 9 mm"
แผ่นยิปซั่ม ฟอยล์ 9 mm (ตราบ้าน),170,แผ่น,ยิปซั่มฟอยล์9มมบ้าน,ยิปซั่ม;ฟอยล์;9 mm;ตราบ้าน;ฉนวน;ผนัง;ฝ้า;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, ฟอยล์, 9 mm"
แผ่นยิปซั่ม ฟอยล์ 9 mm (คนอฟ),165,แผ่น,ยิปซั่มฟอยล์9มมคนอฟ,ยิปซั่ม;ฟอยล์;9 mm;คนอฟ;ฉนวน;ผนัง;ฝ้า;ยิปซั่มบอร์ด,"ยิปซั่ม, ยิปซั่มบอร์ด, ฟอยล์, 9 mm"
แผ่นยิปซั่ม สมาร์ทบอร์ด (4 mm ตราช้าง),150,แผ่น,สมาร์ทบอร์ด4มมช้าง,สมาร์ทบอร์ด;4 mm;ช้าง;ผนัง;ฝ้า;แข็งแรง;ยิปซั่ม;ยิปซั่มบอร์ด;บอร์ดแข็งแรง,"ยิปซั่ม, สมาร์ทบอร์ด, ยิปซั่มบอร์ด, บอร์ดแข็งแรง, 4 mm"
แผ่นยิปซั่ม สมาร์ทบอร์ด (6 mm ตราช้าง),220,แผ่น,สมาร์ทบอร์ด6มมช้าง,สมาร์ทบอร์ด;6 mm;ช้าง;ผนัง;ฝ้า;แข็งแรง;ยิปซั่ม;ยิปซั่มบอร์ด;บอร์ดแข็งแรง,"ยิปซั่ม, สมาร์ทบอร์ด, ยิปซั่มบอร์ด, บอร์ดแข็งแรง, 6 mm"
แผ่นยิปซั่ม สมาร์ทบอร์ด (6 mm ซูเปอร์ซัน),188,แผ่น,สมาร์ทบอร์ด6มมซูเปอร์ซัน,สมาร์ทบอร์ด;6 mm;ซูเปอร์ซัน;ผนัง;ฝ้า;แข็งแรง;ยิปซั่ม;ยิปซั่มบอร์ด;บอร์ดแข็งแรง,"ยิปซั่ม, สมาร์ทบอร์ด, ยิปซั่มบอร์ด, บอร์ดแข็งแรง, 6 mm"
แผ่นยิปซั่ม สมาร์ทบอร์ด (8 mm ซูเปอร์ซัน),280,แผ่น,สมาร์ทบอร์ด8มมซูเปอร์ซัน,สมาร์ทบอร์ด;8 mm;ซูเปอร์ซัน;ผนัง;ฝ้า;แข็งแรง;ยิปซั่ม;ยิปซั่มบอร์ด;บอร์ดแข็งแรง,"ยิปซั่ม, สมาร์ทบอร์ด, ยิปซั่มบอร์ด, บอร์ดแข็งแรง, 8 mm"
ปูนฉาบ ตราบ้าน,215,ลูก,ปูนตราบ้าน,ปูน;ปูนฉาบ;ตราบ้าน;ก่อ;ฉาบ;งานปูน,"ปูน, งานปูน"
ปูนฉาบ ตราช้าง อีซีควิก,218,ลูก,ปูนช้างอีซี,ปูน;ปูนฉาบ;ช้าง;อีซีควิก;ก่อ;ฉาบ;แห้งไว;งานปูน,"ปูน, แห้งไว, งานปูน"
ลวดขาวตรง 3 เมตร #8 ( 4 มิลเต็ม),13,เส้น,ลวดขาว8,ลวดขาว;ลวดตรง;4 มิล;3 เมตร;ลวดเส้น;ลวด;เต็ม;8 gauge;ยาว,"ลวด, ลวดตรง, เต็ม, 8 gauge, 4 มิล, ยาว"
สปริงดำ 4 มิล A,2.5,ตัว,สปริงดำ4มิล,สปริง;สปริงดำ;4 มิล;ฝ้า;ยึด;อุปกรณ์ยึด,"4 มิล, อุปกรณ์ยึด"
ตะขอ ป.ปลา ตรง #11 (3 มิล),0.8,ตัว,ตะขอปลา11,ตะขอ;ปลา;3 มิล;ยึด;ลวด;11 gauge;อุปกรณ์ยึด,"11 gauge, 3 มิล, อุปกรณ์ยึด"
ตะขอ ป.ปลา ตรง #8 (4 มิลเต็ม),1.5,ตัว,ตะขอปลา8,ตะขอ;ปลา;4 มิล;ยึด;ลวด;เต็ม;8 gauge;อุปกรณ์ยึด,"เต็ม, 8 gauge, 4 มิล, อุปกรณ์ยึด"
ล็อคกิ้งคี เกรด A,0.85,ตัว,ล็อคกิ้งคีA,ล็อคกิ้งคี;เกรดA;ยึด;น็อต;สลัก;อุปกรณ์ยึด,อุปกรณ์ยึด
ฉาก 2 รู,0.75,ตัว,ฉาก2รู,ฉาก;เหล็ก;2 รู;ยึด;มุม;เหล็กฉาก;อุปกรณ์ยึด,"เหล็กฉาก, อุปกรณ์ยึด"
พุกเหล็ก 3/16,0.95,ตัว,พุกเหล็ก3ส่วน16,พุก;เหล็ก;3;16;ยึด;สลัก;อุปกรณ์ยึด,"เหล็ก, อุปกรณ์ยึด"
ตะปูขาว (ตะปูตีฉากสังกะสี) #18,58,ห่อ,ตะปูขาว18,ตะปู;ขาว;สังกะสี;18;ห่อ;เหล็กฉาก;ตะปูหัวกลม;18 gauge,"สังกะสี, ตะปู, เหล็กฉาก, ตะปูหัวกลม, 18 gauge"
สกรูไดวอล 6x1 นิ้ว ดำ,85,กิโล,สกรูไดวอล6x1ดำ,สกรู;ไดวอล;6x1;ดำ;กิโล;น็อต;ขนาดพิเศษ,"สกรู, น็อต, ขนาดพิเศษ"
สกรูไดวอล 6x1 นิ้ว ดำ (กระสอบ),3500,กิโล,สกรูไดวอล6x1ดำกระสอบ,สกรู;ไดวอล;6x1;ดำ;กระสอบ;ถุง;น็อต;ขนาดพิเศษ,"สกรู, น็อต, ขนาดพิเศษ"
C 6.5  X  2.4  m   # 26 ตัวกลาง กั้นห้อง,40,เส้น,C65x24m26กลาง,C;กั้นห้อง;26;กลาง;6.5x2.4;ตัวกลาง;26 gauge,"ตัวกลาง, 26 gauge, กั้นห้อง"
C 6.5  X  3  m      # 26 ตัวกลาง กั้นห้อง,47,เส้น,C65x3m26กลาง,C;กั้นห้อง;26;กลาง;6.5x3;ตัวกลาง;26 gauge,"ตัวกลาง, 26 gauge, กั้นห้อง"
C 6.5  X  3  m      # 24 ตัวหนา กั้นห้อง,64,เส้น,C65x3m24หนา,C;กั้นห้อง;24;หนา;6.5x3;ตัวหนา;24 gauge,"ตัวหนา, 24 gauge, กั้นห้อง"
C 7.5  X  2.4 m    # 26 ตัวกลาง กั้นห้อง,42,เส้น,C75x24m26กลาง,C;กั้นห้อง;26;กลาง;7.5x2.4;ตัวกลาง;26 gauge,"ตัวกลาง, 26 gauge, กั้นห้อง"
C 7.5  X  3 m       # 26 ตัวกลาง กั้นห้อง,50,เส้น,C75x3m26กลาง,C;กั้นห้อง;26;กลาง;7.5x3;ตัวกลาง;26 gauge,"ตัวกลาง, 26 gauge, กั้นห้อง"
C 7.5  X  3 m       # 24 ตัวหนา กั้นห้อง,66,เส้น,C75x3m24หนา,C;กั้นห้อง;24;หนา;7.5x3;ตัวหนา;24 gauge,"ตัวหนา, 24 gauge, กั้นห้อง"
U 6.5  X  2.4 m    # 26 ตัวกลาง กั้นห้อง,38,เส้น,U65x24m26กลาง,U;กั้นห้อง;26;กลาง;6.5x2.4;ตัวกลาง;26 gauge,"ตัวกลาง, 26 gauge, กั้นห้อง"
U 6.5  X  3 m       # 26 ตัวกลาง กั้นห้อง,45,เส้น,U65x3m26กลาง,U;กั้นห้อง;26;กลาง;6.5x3;ตัวกลาง;26 gauge,"ตัวกลาง, 26 gauge, กั้นห้อง"
U 6.5  X  3 m       # 24 ตัวหนา กั้นห้อง,62,เส้น,U65x3m24หนา,U;กั้นห้อง;24;หนา;6.5x3;ตัวหนา;24 gauge,"ตัวหนา, 24 gauge, กั้นห้อง"
U 7.5  X  2.4 m    # 26 ตัวกลาง กั้นห้อง,39,เส้น,U75x24m26กลาง,U;กั้นห้อง;26;กลาง;7.5x2.4;ตัวกลาง;26 gauge,"ตัวกลาง, 26 gauge, กั้นห้อง"
U 7.5  X  3 m       # 26 ตัวกลาง กั้นห้อง,48,เส้น,U75x3m26กลาง,U;กั้นห้อง;26;กลาง;7.5x3;ตัวกลาง;26 gauge,"ตัวกลาง, 26 gauge, กั้นห้อง"
U 7.5  X  3 m       # 24 ตัวหนา กั้นห้อง,63,เส้น,U75x3m24หนา,U;กั้นห้อง;24;หนา;7.5x3;ตัวหนา;24 gauge,"ตัวหนา, 24 gauge, กั้นห้อง"
